"id","code","account_type","name","reconcile","name@es"
"dnit_1010101","1-01-01-01","asset_cash","CAJA","False","CAJA"
"dnit_1010102","1-01-01-02","asset_cash","RECAUDACIONES A DEPOSITAR","False","RECAUDACIONES A DEPOSITAR"
"dnit_1010103","1-01-01-03","asset_cash","BANCOS","False","BANCOS"
"dnit_1010104","1-01-01-04","asset_current","OTROS VALORES","False","OTROS VALORES"
"dnit_1010201","1-01-02-01","asset_current","VALORES","False","VALORES"
"dnit_1010301","1-01-03-01","asset_receivable","CLIENTES","True","CLIENTES"
"dnit_1010310","1-01-03-10","asset_current","MENOS: PREVISION PARA INCOBRABLES","False","MENOS: PREVISION PARA INCOBRABLES"
"dnit_1010311","1-01-03-11","asset_current","DEUDORES VARIOS","False","DEUDORES VARIOS"
"dnit_1010312","1-01-03-12","asset_current","DOCUMENTOS / CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS","False","DOCUMENTOS / CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS"
"dnit_1010313","1-01-03-13","asset_current","INTERESES A VENCER","False","INTERESES A VENCER"
"dnit_1010314","1-01-03-14","asset_current","TARJETAS DE CREDITOS","False","TARJETAS DE CREDITOS"
"dnit_1010320","1-01-03-20","asset_current","MENOS: PREVISION PARA INCOBRABLES","False","MENOS: PREVISION PARA INCOBRABLES"
"dnit_1010330","1-01-03-30","asset_current","IVA CREDITO FISCAL","False","IVA CREDITO FISCAL"
"dnit_1011001","1-01-10-01","asset_current","MERCADERIAS - PRODUCTOS TERMINADOS","False","MERCADERIAS - PRODUCTOS TERMINADOS"
"dnit_1011002","1-01-10-02","asset_current","PRODUCTOS EN PROCESO","False","PRODUCTOS EN PROCESO"
"dnit_1011003","1-01-10-03","asset_current","MATERIAS PRIMAS - MATERIALES","False","MATERIAS PRIMAS - MATERIALES"
"dnit_1011004","1-01-10-04","asset_current","MENOS: PREVISION POR OBSOLESCENCIA","False","MENOS: PREVISION POR OBSOLESCENCIA"
"dnit_1011501","1-01-15-01","asset_current","IMPORTACIONES EN CURSO","False","IMPORTACIONES EN CURSO"
"dnit_1011502","1-01-15-02","asset_current","PROVEEDORES","False","PROVEEDORES"
"dnit_1012001","1-01-20-01","asset_current","GASTOS NO DEVENGADOS","False","GASTOS NO DEVENGADOS"
"dnit_1020101","1-02-01-01","asset_non_current","FONDOS CON DESTINO ESPECIAL","False","FONDOS CON DESTINO ESPECIAL"
"dnit_1020102","1-02-01-02","asset_non_current","DOCUMENTOS / CUENTAS A COBRAR DIRECTORES Y FUNCIONARIOS","False","DOCUMENTOS / CUENTAS A COBRAR DIRECTORES Y FUNCIONARIOS"
"dnit_1020103","1-02-01-03","asset_non_current","DOCUMENTOS POR COBRAR","False","DOCUMENTOS POR COBRAR"
"dnit_1020104","1-02-01-04","asset_non_current","DEUDORES VARIOS","False","DEUDORES VARIOS"
"dnit_1020105","1-02-01-05","asset_non_current","CREDITOS EN GESTION DE COBRO MOROSOS O SIMILARES","False","CREDITOS EN GESTION DE COBRO MOROSOS O SIMILARES"
"dnit_1020106","1-02-01-06","asset_non_current","MENOS: PREVISIONES PARA INCOBRABLES","False","MENOS: PREVISIONES PARA INCOBRABLES"
"dnit_1021001","1-02-10-01","asset_fixed","BIENES EN OPERACIÓN","False","BIENES EN OPERACIÓN"
"dnit_1021002","1-02-10-02","asset_fixed","DEPRECIACION ACUMULADA","False","DEPRECIACION ACUMULADA"
"dnit_1021003","1-02-10-03","asset_fixed","BIENES FUERA DE OPERACIÓN","False","BIENES FUERA DE OPERACIÓN"
"dnit_1022001","1-02-20-01","asset_non_current","LICENCIAS DE MANUFACTURAS","False","LICENCIAS DE MANUFACTURAS"
"dnit_1022002","1-02-20-02","asset_non_current","MARCAS","False","MARCAS"
"dnit_1022003","1-02-20-03","asset_non_current","GASTOS DE DESARROLLO","False","GASTOS DE DESARROLLO"
"dnit_1022004","1-02-20-04","asset_non_current","AMORTIZACION ACUMULADA","False","AMORTIZACION ACUMULADA"
"dnit_2010101","2-01-01-01","liability_payable","PROVEEDORES LOCALES","True","PROVEEDORES LOCALES"
"dnit_2010102","2-01-01-02","liability_payable","PROVEEDORES DEL EXTERIOR","True","PROVEEDORES DEL EXTERIOR"
"dnit_2010103","2-01-01-03","liability_current","INTERESES A VENCER","False","INTERESES A VENCER"
"dnit_2010104","2-01-01-04","liability_current","ACREEDORES VARIOS","False","ACREEDORES VARIOS"
"dnit_2010501","2-01-05-01","liability_current","SOBREGIROS EN CUENTA CORRIENTE","False","SOBREGIROS EN CUENTA CORRIENTE"
"dnit_2010502","2-01-05-02","liability_current","DOCUMENTOS A PAGAR","False","DOCUMENTOS A PAGAR"
"dnit_2010503","2-01-05-03","liability_current","PORCIÓN CIRCULANTE DE PRÉSTAMOS A LARGO PLAZO","False","PORCIÓN CIRCULANTE DE PRÉSTAMOS A LARGO PLAZO"
"dnit_2010504","2-01-05-04","liability_current","INTERESES A DEVENGAR","False","INTERESES A DEVENGAR"
"dnit_2011001","2-01-10-01","liability_current","IMPUESTO A LA RENTA A PAGAR","False","IMPUESTO A LA RENTA A PAGAR"
"dnit_2011002","2-01-10-02","liability_current","IVA A PAGAR","False","IVA A PAGAR"
"dnit_2011003","2-01-10-03","liability_current","RETENCIONES DE IMPUESTOS","False","RETENCIONES DE IMPUESTOS"
"dnit_2011004","2-01-10-04","liability_current","PARA PAGO DE PLANES DE BENEFICIOS PARA EMPLEADOS","False","PARA PAGO DE PLANES DE BENEFICIOS PARA EMPLEADOS"
"dnit_2011005","2-01-10-05","liability_current","APORTES Y RETENCIONES A PAGAR","False","APORTES Y RETENCIONES A PAGAR"
"dnit_2011006","2-01-10-06","liability_current","GASTOS ACUMULADOS A PAGAR","False","GASTOS ACUMULADOS A PAGAR"
"dnit_2011007","2-01-10-07","liability_current","IVA DEBITO FISCAL","False","IVA DEBITO FISCAL"
"dnit_2012001","2-01-20-01","liability_current","PRESTAMOS DE TERCEROS","False","PRESTAMOS DE TERCEROS"
"dnit_2012002","2-01-20-02","liability_current","ANTICIPO DE CLIENTES","False","ANTICIPO DE CLIENTES"
"dnit_2012003","2-01-20-03","liability_current","DIVIDENDOS A PAGAR","False","DIVIDENDOS A PAGAR"
"dnit_2014001","2-01-40-01","liability_current","INGRESOS NO REALIZADOS","False","INGRESOS NO REALIZADOS"
"dnit_2014002","2-01-40-02","liability_current","COSTOS Y GASTOS APLICABLES A LOS INGRESOS NO REALIZADOS","False","COSTOS Y GASTOS APLICABLES A LOS INGRESOS NO REALIZADOS"
"dnit_2020101","2-02-01-01","liability_non_current","PRESTAMOS EN BANCOS","False","PRESTAMOS EN BANCOS"
"dnit_2020501","2-02-05-01","liability_non_current","PREVISION PARA INDEMNIZACION","False","PREVISION PARA INDEMNIZACION"
"dnit_2020502","2-02-05-02","liability_non_current","OTRAS CONTINGENCIAS","False","OTRAS CONTINGENCIAS"
"dnit_2030101","2-03-01-01","equity","CAPITAL SUSCRIPTO","False","CAPITAL SUSCRIPTO"
"dnit_2030102","2-03-01-02","equity","CAPITAL A INTEGRAR","False","CAPITAL A INTEGRAR"
"dnit_2030103","2-03-01-03","equity","CAPITAL REALIZADO","False","CAPITAL REALIZADO"
"dnit_2030201","2-03-02-01","equity","RESERVA LEGAL","False","RESERVA LEGAL"
"dnit_2030202","2-03-02-02","equity","RESERVA FACULTATIVA","False","RESERVA FACULTATIVA"
"dnit_2030203","2-03-02-03","equity","RESERVA DE REVALUO","False","RESERVA DE REVALUO"
"dnit_2030301","2-03-03-01","equity","RESULTADOS ACUMULADOS","False","RESULTADOS ACUMULADOS"
"dnit_2030302","2-03-03-02","equity_unaffected","RESULTADO DEL EJERCICIO","False","RESULTADO DEL EJERCICIO"
"dnit_301","3-01","income","VENTA SECTOR PUBLICO","False","VENTA SECTOR PUBLICO"
"dnit_302","3-02","income","VENTA SECTOR PRIVADO","False","VENTA SECTOR PRIVADO"
"dnit_31001","3-10-01","income_other","INTERESES GANADOS","False","INTERESES GANADOS"
"dnit_31002","3-10-02","income_other","OTROS","False","OTROS"
"dnit_31003","3-10-03","income_other","DIFERENCIA DE CAMBIO","False","DIFERENCIA DE CAMBIO"
"dnit_32001","3-20-01","expense","GASTOS FINANCIEROS","False","GASTOS FINANCIEROS"
"dnit_33001","3-30-01","income","GANANCIAS","False","GANANCIAS"
"dnit_401","4-01","expense_direct_cost","COSTO DE MERCADERIA (PRODUCTOS O SERVICIOS VENDIDOS)","False","COSTO DE MERCADERIA (PRODUCTOS O SERVICIOS VENDIDOS)"
"dnit_411","4-11","expense","GASTOS OPERACIONALES","False","GASTOS OPERACIONALES"
"dnit_412","4-12","expense","GASTOS DE VENTAS","False","GASTOS DE VENTAS"
"dnit_413","4-13","expense","GASTOS DE ADMINISTRACION","False","GASTOS DE ADMINISTRACION"
"dnit_414","4-14","expense","DIFERENCIA DE CAMBIO","False","DIFERENCIA DE CAMBIO"
"dnit_420","4-20","expense","OTROS","False","OTROS"
"dnit_430","4-30","expense","PERDIDAS","False","PERDIDAS"
"dnit_510","5-10","income_other","MAS: (O MENOS) EFECTOS DE LOS PRECIOS CAMBIANTES","False","MAS: (O MENOS) EFECTOS DE LOS PRECIOS CAMBIANTES"
"dnit_520","5-20","income_other","MAS: (O MENOS) AJUSTE DE EJERCICIOS ANTERIORES","False","MAS: (O MENOS) AJUSTE DE EJERCICIOS ANTERIORES"
"dnit_530","5-30","expense","MENOS: IMPUESTO A LA RENTA","False","MENOS: IMPUESTO A LA RENTA"
