"id","description","invoice_label","name","active","sequence","amount_type","amount","tax_group_id","type_tax_use","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@es","description@es","invoice_label@es"
"dnit_tax_iva_10_venta","IVA 10%","IVA 10%","IVA 10%","True","1","percent","10.0","dnit_tax_group_iva_10","sale","base","invoice","","IVA 10%","IVA 10%","IVA 10%"
"","","","","","","","","","","tax","invoice","dnit_2011007","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","dnit_2011007","","",""
"dnit_tax_iva_10_compra","IVA 10%","IVA 10%","IVA 10%","True","1","percent","10.0","dnit_tax_group_iva_10","purchase","base","invoice","","IVA 10%","IVA 10%","IVA 10%"
"","","","","","","","","","","tax","invoice","dnit_1010330","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","dnit_1010330","","",""
"dnit_tax_iva_5_venta","IVA 5%","IVA 5%","IVA 5%","True","1","percent","5.0","dnit_tax_group_iva_5","sale","base","invoice","","IVA 5%","IVA 5%","IVA 5%"
"","","","","","","","","","","tax","invoice","dnit_2011007","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","dnit_2011007","","",""
"dnit_tax_iva_5_compra","IVA 5%","IVA 5%","IVA 5%","True","1","percent","5.0","dnit_tax_group_iva_5","purchase","base","invoice","","IVA 5%","IVA 5%","IVA 5%"
"","","","","","","","","","","tax","invoice","dnit_1010330","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","dnit_1010330","","",""
"dnit_tax_exento_venta","Exento","Exento","Exento","True","1","percent","0.0","dnit_tax_group_exento","sale","base","invoice","","Exento","Exento","Exento"
"","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","","","",""
"dnit_tax_exento_compra","Exento","Exento","Exento","True","1","percent","0.0","dnit_tax_group_exento","purchase","base","invoice","","Exento","Exento","Exento"
"","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","","","",""
