"id","name","code_prefix_start","name@es"
"dnit_group_1","ACTIVO","1","ACTIVO"
"dnit_group_101","ACTIVO CORRIENTE","1-01","ACTIVO CORRIENTE"
"dnit_group_10101","DISPONIBILIDADES","1-01-01","DISPONIBILIDADES"
"dnit_group_10102","INVERSIONES TEMPORARIAS","1-01-02","INVERSIONES TEMPORARIAS"
"dnit_group_10103","CREDITOS","1-01-03","CREDITOS"
"dnit_group_10110","INVENTARIOS","1-01-10","INVENTARIOS"
"dnit_group_10115","ANTICIPOS","1-01-15","ANTICIPOS"
"dnit_group_10120","OTROS ACTIVOS","1-01-20","OTROS ACTIVOS"
"dnit_group_102","ACTIVO NO CORRIENTE","1-02","ACTIVO NO CORRIENTE"
"dnit_group_10201","CREDITOS","1-02-01","CREDITOS"
"dnit_group_10210","PROPIEDAD, PLANTA Y EQUIPO","1-02-10","PROPIEDAD, PLANTA Y EQUIPO"
"dnit_group_10220","ACTIVOS INTANGIBLES","1-02-20","ACTIVOS INTANGIBLES"
"dnit_group_2","PASIVO Y PATRIMONIO NETO","2","PASIVO Y PATRIMONIO NETO"
"dnit_group_201","PASIVO CORRIENTE","2-01","PASIVO CORRIENTE"
"dnit_group_20101","CUENTAS A PAGAR","2-01-01","CUENTAS A PAGAR"
"dnit_group_20105","PRESTAMOS FINANCIEROS","2-01-05","PRESTAMOS FINANCIEROS"
"dnit_group_20110","PROVISIONES","2-01-10","PROVISIONES"
"dnit_group_20120","OTROS PASIVOS","2-01-20","OTROS PASIVOS"
"dnit_group_20140","GANANCIAS DIFERIDAS","2-01-40","GANANCIAS DIFERIDAS"
"dnit_group_202","PASIVO NO CORRIENTE","2-02","PASIVO NO CORRIENTE"
"dnit_group_20201","PRESTAMOS FINANCIEROS","2-02-01","PRESTAMOS FINANCIEROS"
"dnit_group_20205","PREVISIONES","2-02-05","PREVISIONES"
"dnit_group_203","PATRIMONIO NETO","2-03","PATRIMONIO NETO"
"dnit_group_20301","CAPITAL","2-03-01","CAPITAL"
"dnit_group_20302","RESERVAS","2-03-02","RESERVAS"
"dnit_group_20303","RESULTADOS","2-03-03","RESULTADOS"
"dnit_group_310","MAS OTROS INGRESOS","3-10","MAS OTROS INGRESOS"
"dnit_group_3","INGRESOS","3","INGRESOS"
"dnit_group_4","COSTOS Y GASTOS","4","COSTOS Y GASTOS"
"dnit_group_5","AJUSTES AL RESULTADO","5","AJUSTES AL RESULTADO"
